,Brand,Review,Rating,Author Name,Review Date,URL
0,MG Hector,"Very nice design and stylish car. The interior of the hector is amazing and the touch screen is like a tab. The alloy wheel of the hector is beautiful, exterior and interiors too. The ground clearance of hector is ample. I like the interior options. The headlight was very nice and the backlight is also good. The boot space was so spacious. I like MG Hector so much.",5,Johney Robert,"Nov 30, 2019",https://www.cardekho.com/user-review/mg-hector/everything-you-need-in-a-car-95041.htm
1,MG Hector,MG Hector is a very experienced vehicle. It is made by Morris Garages (Mg) Hector. Its budget is very low and has advanced features. Its massive sunroof gives a pleasant feel to the cabin. Its touch screen is also controlled by voice. Its leg space is massive. Its price starts from 12.17 lakh. I really want to buy this car.,3,Mehul Jhala,"Nov 29, 2019",https://www.cardekho.com/user-review/mg-hector/the-best-95009.htm
2,MG Hector,"Surely we can say it is a perfect fully loaded SUV model, well done by MG, Hector is stepping stone of our future cars.",5,Sai Charan Mahamkali,"Nov 30, 2019",https://www.cardekho.com/user-review/mg-hector/perfect-suv-95058.htm
3,MG Hector,"Read a few reviews where people alleged very low fuel efficiency. On a normal day in Delhi (route Noida Gurgaon at 9 AM) and (Gurgaon Noida 7 PM), my car has given an average of 12 kmpl. And while travelling bumper to bumper, it is 9-10kmpl.",5,Nikit Popli,"Nov 29, 2019",https://www.cardekho.com/user-review/mg-hector/fuel-average-94913.htm
4,MG Hector,"Fantastic car, great pick-up, comfortable seats. Controlling system is excellent, smooth to drive.",4,User,"Nov 30, 2019",https://www.cardekho.com/user-review/mg-hector/fantastic-car-95074.htm
5,MG Hector,"The perfect size car with the best class infotainment system and interiors. The tyres and the rims are eye-catchy and the front lights are alluring. The best car in its segment with appearance and power, with huge space, the car packs a good load and is great for trips and adventures. The company will get a huge advantage in the Indian market.",5,Vishesh Yadav,"Nov 29, 2019",https://www.cardekho.com/user-review/mg-hector/the-power-devil-94924.htm
6,MG Hector,Can't comment over the engine quality because British cars are amazing in quality check. Build quality and features are also good.,3,Akhilesh Akshay,"Nov 29, 2019",https://www.cardekho.com/user-review/mg-hector/amazing-machine-94942.htm
7,MG Hector,"Excellent car in the world so far. It is best for long tours. Also, the logo of the car is impressive.",5,Sushil Malik,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/my-favorite-car-94875.htm
8,MG Hector,Very affordable range and super high-quality car. Very comfortable seating and quite silent. The A.C. system and circulation are pretty good.,5,Souvik Majumder,"Nov 30, 2019",https://www.cardekho.com/user-review/mg-hector/superb-car-95059.htm
9,MG Hector,"Nice features at less cost, It's helpful for everyone and it's featured as same as Jeep Compass.",5,Umesh Hari Mahalpure,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/mind-blowing-car-94891.htm
10,MG Hector,"People say that the electronics won't work out in India but MG has proved almost everyone wrong. Speaking of electronics, the car is fully loaded with advanced technology and none of them feels like it's overdone. My second point is the mileage, Hector is an SUV but still offers great mileage of around 16kmpl. The dimensions of the car are humungous. In terms of comfort, the car can beat any of its rivals and is also prepared to compete with upper-class SUVs like Fortuner, Endeavour, etc. I recently went on a road trip in my hector and the ride quality was amazing, the suspensions were pretty soft providing a clean ride. Though the car is pretty huge, it is easily drivable in the city without any problem. I've heard it is also called the internet car due to the presence of a massive touch screen system with a pretty clear voice assistant. It manages to recognize the Indian accent as well. The pricing of the car is pretty neat and is the best car in the segment.",2,Ritesh Gourav,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/amazing-machine-94866.htm
11,MG Hector,"Best and brilliant car by MG. If we compare the cars in Hector's price range Jeep compass is overprized, no premium features, and no comfort. Tata Harrier is fair and the interior is worst. The segment king Hyundai Creta is just like I20 wearing heels it is not a car Worth buying. I waited for mg was confused in hector and Creta but Hector was just better than Creta in terms of design, features, interior. So those people planning to buy hector buy the smart model because of it worth buying and I have also bought the smart one. Very Smooth SUV and with safety. A superior look with great Interior. When we talk about feature all upgrade and fully internet SUV.",5,Gurmeet Balyan,"Nov 27, 2019",https://www.cardekho.com/user-review/mg-hector/best-and-brilliant-94678.htm
12,MG Hector,"I drove MG Hector (Sharp) Petrol Hybrid for more than 1000kms. Both in city traffic (200km) and on national highway (800km). It gives superior comfort for drivers/passengers. HiTech features make you feel like you are in full control of the car. No complaints in this section. Overall I am very happy. After driving it on different roads in city & highways, I don't feel the acceleration is leaner enough in all gears. Overall I felt it is ""sluggish"" / ""underpowered."" The fuel efficiency is not up to the figures declared by MG India (i.e. 15.8 kmpl). I only got 9 to 10 kmpl in city & 11 to 13kmpl in Highways. Finally, I would like to say this car is a good value for money.",4,Alok Narayan Pandey,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/this-car-fulfils-everything-in-20-budget-94869.htm
13,MG Hector,"Got a chance to drive this car. I didn't expect that the petrol hybrid engine gives this type of power. This engine is really awesome. The 1.5 ltr hybrid engine gives a lot of power in the mid-range up-to 2000 rpm some amount of lag is there but it pulls up pretty quick. The safety features of this car are very good, 6 airbags, Abs, EBD, TC, Hill hold etc. The design of this car is awesome and the comfort is very good. The rear passenger gets a rear armrest, rear Ac vents and a good amount of space. The main attraction of this car is the internet Inside 10.4-inch huge touch screen. It's really awesome. The sound quality is also great. Pros:- 1. Value for money 2. Fully loaded, the features in this price are like Panoramic sunroof, 10-inch touch screen with android auto and apple car play with 5G sim support, electrically adjustable driver seat etc 3. Safety. Cons:- 1. The Breaking is okay, not that great.",4,Anonymous,"Nov 27, 2019",https://www.cardekho.com/user-review/mg-hector/this-british-suv-listens-to-you-and-talks-back-94659.htm
14,MG Hector,Nice car and a strong body. The leather seats are average. Suspension and space are good here. there is no engine sound. Everything is perfect.,5,Palam Estates,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/quite-strong-94846.htm
15,MG Hector,It was an amazing experience. I am very proud to own this car.,5,Yadagiri Shaganti,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/great-car-94792.htm
16,MG Hector,"MG HECTOR is one of the best and fully loaded SUV, which was provided at a lower cost in all variants. Ride quality and looks are also good. Comfortable seats, panoramic sunroof and AC performance are fabulous. Value for money.",5,Sarthak Jariwala,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/best-car-in-the-segment-94784.htm
17,MG Hector,"Best in the class segment! Highest cabin space in this segment with the best interior and exterior. If you are an SUV lover, then go for it.",5,Anonymous,"Nov 27, 2019",https://www.cardekho.com/user-review/mg-hector/dream-car-94731.htm
18,MG Hector,Smooth drive and fantastic looks. Everything is amazing here in this car.,5,Raj Pandit,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/this-car-is-amazing-94853.htm
19,MG Hector,"Such a high rated and luxurious class segment car. It has great looks and great features. Fully automatic loaded features. High ground clearance, big boot space, electronically  adjustable seats and sensors I mostly like features in this car. Voice control feature giving amazing feel driving this car.",5,Rohit Kshatriya,"Nov 28, 2019",https://www.cardekho.com/user-review/mg-hector/dream-car-mg-hector-94823.htm
20,MG Hector,"It is the best car in India and in low price, we get a luxury car. We feel better inside the car and it goes smooth on the road. The interior design is too better than other cars and the interesting thing is the sunroof as is not single, it is double sunroof.",5,Max Vijay,"Nov 25, 2019",https://www.cardekho.com/user-review/mg-hector/mg-hector-the-best-car-94538.htm
21,MG Hector,The car is good on cosmetics but I don't think that you can trust the engine for the long run. MG still needs to take care and refine the engine according to Indian road conditions. Giving a variety of features won't help if there is an issue in engine quality. The mileage is also very less and gives 7 KMPL on the highways.,2,Chintan,"Nov 24, 2019",https://www.cardekho.com/user-review/mg-hector/ok-car-to-buy-94442.htm
22,MG Hector,MG Hector is the best mid-size SUV. It feels like luxury cars with the best automatic functions. This car is almost best in everything but its mileage is not too high.,5,Ashu Verma,"Nov 24, 2019",https://www.cardekho.com/user-review/mg-hector/best-suv-94415.htm
23,MG Hector,This is a perfect SUV. This gives a real feel of SUV it is having so much space for your luggage and persons sitting in it. I think it is the best SUV in this price range. This car is having a nice sound system. I am having its petrol variant. MG also provides diesel variant.,5,Pinky Parmar,"Nov 23, 2019",https://www.cardekho.com/user-review/mg-hector/it-is-the-perfect-suv-94339.htm
24,MG Hector,This car's voice command system is really good and it's look is also good so I would give it a five-star rating.,5,Ishtiaque Ahmed,"Nov 26, 2019",https://www.cardekho.com/user-review/mg-hector/good-car-94648.htm
25,MG Hector,"It is a nice car, it has a very good system, the interior design of the car is very good and comfortable, the speakers of this car are very good.",5,Alex Joseph,"Nov 26, 2019",https://www.cardekho.com/user-review/mg-hector/wonderful-car-94581.htm
26,MG Hector,The best car at this budget including all the features and especially the Internet inside concept. This car includes a very nice experience.,5,Narendra Kr. Sethi,"Nov 25, 2019",https://www.cardekho.com/user-review/mg-hector/greatest-car-94533.htm
27,MG Hector,This is the best car under 20 lacs with lots of features and it is better than other cars and the best car.,5,Sb Sudip,"Nov 25, 2019",https://www.cardekho.com/user-review/mg-hector/best-suv-94490.htm
28,MG Hector,"MG Hector has the best engine and suspension. It has great pickup and an awesome music system. Overall, It is a value for money car.",5,Beast Gamer,"Nov 24, 2019",https://www.cardekho.com/user-review/mg-hector/value-for-money-car-94432.htm
29,MG Hector,"It is a complete package whether you are thriving for power or safety features, MG Hector has it all. The company has left no stones unturned when it comes to the body layout, it looks massive and beautiful at the same time. The interiors of the car are of premium quality and certainly makes the user feel true value for the money.",4,Mohit Gupta,"Nov 24, 2019",https://www.cardekho.com/user-review/mg-hector/great-performer-94429.htm
30,MG Hector,"People say that the electronics won't work out in India but MG has proved almost everyone wrong. Speaking of the electronics, the car is fully loaded with advanced technology and none of them feels like it's overdone. My second point is the milage, hector is an SUV but still offers great mileage of around 16km/l. The dimensions of the car are humungous. In terms of comfort, the car can beat any of its rival and is also prepared to compete with upper-class SUVs like Fortuner, Endeavour, etc. I recently went on a road trip in my hector and the ride quality was amazing, the suspensions were pretty soft providing a clean ride. Though the car is pretty huge, it is easily drivable in the city without any problem. I've heard it is also called the internet car due to the presence of a massive touch screen system with a pretty clear voice assistant. It manages to recognize the Indian accent as well. The pricing of the car is pretty neat and is the best car in the segment.",5,Hardik,"Nov 23, 2019",https://www.cardekho.com/user-review/mg-hector/the-car-of-dreams-94338.htm
31,MG Hector,"It's an amazing car. I like it, it is awesome. The features and everything is good and it has good braking. The mileage is also good.",5,Jitendra Balwani,"Nov 22, 2019",https://www.cardekho.com/user-review/mg-hector/its-awesome-and-a-good-car-94265.htm
32,MG Hector,"Awesome car with excellent quality features, voice control, excellent looks like a beast and worth for money.",5,Raj Rock,"Nov 22, 2019",https://www.cardekho.com/user-review/mg-hector/excellent-car-94262.htm
33,MG Hector,"I like spacious interior packed with features, refined engine and strong road presence. Fit and finish could be better and the infotainment system is a bit lacky. You just can't miss this car as its sheer size hits you before you even start focusing on the design detail.",4,Ar S,"Nov 21, 2019",https://www.cardekho.com/user-review/mg-hector/mg-hector-first-impression-94217.htm
34,MG Hector,"Nice car with good and heavy looks. It is better than other SUVs. It has nice interiors with best ground clearance and looks like a big SUV. I looked it for the first time and what a great SUV with great design, interiors, great fog lights and nice exteriors. It is the best SUV in 15 lacs.",5,Urdhab,"Nov 21, 2019",https://www.cardekho.com/user-review/mg-hector/great-looks-mg-hector-94214.htm
35,MG Hector,I just love this car. Most advanced car in this price segment and one of the most luxurious car.,5,Md Nayeem Mallick,"Nov 20, 2019",https://www.cardekho.com/user-review/mg-hector/love-this-car-94143.htm
36,MG Hector,"Best build quality in its segment, good cabin insulation from the outside world, less NVH level, cabin cooling capacity is quite good.",5,Venkatppathyadhith,"Nov 22, 2019",https://www.cardekho.com/user-review/mg-hector/go-for-it-worth-buying-94303.htm
37,MG Hector,The performance is good. The sunroof is very nice. It is an internet car. AC condition is good in performance.,5,Rishal Pp,"Nov 22, 2019",https://www.cardekho.com/user-review/mg-hector/nice-looking-car-94268.htm
38,MG Hector,The car facility is cool and fantastic. It looks awesome and the tyres have a strong grip.,5,More Jay Jitendrabhai,"Nov 21, 2019",https://www.cardekho.com/user-review/mg-hector/mg-hector-father-off-all-cars-94235.htm
39,MG Hector,Nice car with all features of luxury cars. There is enough space. The price range is good in this segment. It is stylish.,5,Gokul Dinesh,"Nov 21, 2019",https://www.cardekho.com/user-review/mg-hector/nice-car-to-buy-94172.htm
