,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
0,Kia Seltos,Amazing experience.,"Great car in the SUV segment and worth buying. The interior looks top-notch. Also, you get a smooth feeling while driving. I did a test drive and it feels wonderful. Highly recommended.",5,Avinash Raja,7-Dec-19,1406 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/amazing-experience-95882.htm
1,Kia Seltos,Awesome car.,"Awesome car, with best in class, Bose music system and the front grill of the car is also amazing along with the day time running LED.",5,Utkarsh,7-Dec-19,59 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/awesome-car-95878.htm
2,Kia Seltos,Excellent car.,"This car looks amazing and also has a 360-degree camera view, which is very rare.",5,Dhanwant Singh,7-Dec-19,41 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/excellent-car-95883.htm
3,Kia Seltos,Awesome features,It comes with awesome features. Its automatic gear shifting is smooth and seats are very comfortable. All windows are also automatic. ,5,Amit Sharma,7-Dec-19,47 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/awesome-features-95942.htm
4,Kia Seltos,A budget car.,"This is a car I was looking for and the features of this car are amazing. It's comfortable on Indian roads. This car has every feature, which an ideal car should have. Not only the interior is great, but the exterior is also commendable.",5,Jatin,7-Dec-19,375 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-budget-car-95908.htm
5,Kia Seltos,Just like a boss.,"The car looks like a beast and the engine power is great, the Bose sound system is top-notch, and the 360-degree camera view is very helpful.",4,Partha Sarkar,7-Dec-19,45 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/just-like-a-boss-95885.htm
6,Kia Seltos,Best car of 2019.,The smoothest experience I have ever had was in this car. So much of class and performance in this car I just loved it.,5,Anonymous,6-Dec-19,36 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-car-of-2019-95863.htm
7,Kia Seltos,Great car.,Kia is the best car that is safe & smooth. Available at the best price.,5,Parth Prajapati,6-Dec-19,34 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/great-car-95844.htm
8,Kia Seltos,Great infotainment system.,Awesome car with a Bose music system. Far better than Hyundai's Creta. Great riding experience with KIA and within the budget.,4,Vijay Odedara,6-Dec-19,31 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/great-infotainment-system-95832.htm
9,Kia Seltos,Good at its own place.,"Amazing driving experience being a cousin of Hyundai, Kia gives more money value but MG has better space and features.",4,Kartikay Rawal,6-Dec-19,29 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/good-at-its-own-place-95824.htm
10,Kia Seltos,Excellence In KIA,"Superb sound quality sound system and excellent future car. Mind-blowing look, low price best design. Segment 1st Smart Heads-Up Display. World's 1st SmartPure Air Purifier. Bose Premium Sound System with 8 speakers & LED Sound Mood lights with straight Line designs and World-Class Quality.",5,Sukhpreet Sarari,6-Dec-19,767 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/excellence-in-kia-95808.htm
