Website,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
Cardekho.com,Kia Seltos,Amazing experience.,"Great car in the SUV segment and worth buying. The interior looks top-notch. Also, you get a smooth feeling while driving. I did a test drive and it feels wonderful. Highly recommended.",5,Avinash Raja,7-Dec-19,1406,0,0,https://www.cardekho.com/user-review/kia-seltos/amazing-experience-95882.htm
Cardekho.com,Kia Seltos,Awesome car.,"Awesome car, with best in class, Bose music system and the front grill of the car is also amazing along with the day time running LED.",5,Utkarsh,7-Dec-19,59,0,0,https://www.cardekho.com/user-review/kia-seltos/awesome-car-95878.htm
Cardekho.com,Kia Seltos,Excellent car.,"This car looks amazing and also has a 360-degree camera view, which is very rare.",5,Dhanwant Singh,7-Dec-19,41,0,0,https://www.cardekho.com/user-review/kia-seltos/excellent-car-95883.htm
Cardekho.com,Kia Seltos,Awesome features,It comes with awesome features. Its automatic gear shifting is smooth and seats are very comfortable. All windows are also automatic. ,5,Amit Sharma,7-Dec-19,47,0,0,https://www.cardekho.com/user-review/kia-seltos/awesome-features-95942.htm
Cardekho.com,Kia Seltos,A budget car.,"This is a car I was looking for and the features of this car are amazing. It's comfortable on Indian roads. This car has every feature, which an ideal car should have. Not only the interior is great, but the exterior is also commendable.",5,Jatin,7-Dec-19,375,0,0,https://www.cardekho.com/user-review/kia-seltos/a-budget-car-95908.htm
Cardekho.com,Kia Seltos,Just like a boss.,"The car looks like a beast and the engine power is great, the Bose sound system is top-notch, and the 360-degree camera view is very helpful.",4,Partha Sarkar,7-Dec-19,45,0,0,https://www.cardekho.com/user-review/kia-seltos/just-like-a-boss-95885.htm
Cardekho.com,Kia Seltos,Best car of 2019.,The smoothest experience I have ever had was in this car. So much of class and performance in this car I just loved it.,5,Anonymous,6-Dec-19,36,0,0,https://www.cardekho.com/user-review/kia-seltos/best-car-of-2019-95863.htm
Cardekho.com,Kia Seltos,Great car.,Kia is the best car that is safe & smooth. Available at the best price.,5,Parth Prajapati,6-Dec-19,34,0,0,https://www.cardekho.com/user-review/kia-seltos/great-car-95844.htm
Cardekho.com,Kia Seltos,Great infotainment system.,Awesome car with a Bose music system. Far better than Hyundai's Creta. Great riding experience with KIA and within the budget.,4,Vijay Odedara,6-Dec-19,31,0,0,https://www.cardekho.com/user-review/kia-seltos/great-infotainment-system-95832.htm
Cardekho.com,Kia Seltos,Good at its own place.,"Amazing driving experience being a cousin of Hyundai, Kia gives more money value but MG has better space and features.",4,Kartikay Rawal,6-Dec-19,29,0,0,https://www.cardekho.com/user-review/kia-seltos/good-at-its-own-place-95824.htm
Cardekho.com,Kia Seltos,Excellence In KIA,"Superb sound quality sound system and excellent future car. Mind-blowing look, low price best design. Segment 1st Smart Heads-Up Display. World's 1st SmartPure Air Purifier. Bose Premium Sound System with 8 speakers & LED Sound Mood lights with straight Line designs and World-Class Quality.",5,Sukhpreet Sarari,6-Dec-19,767,0,0,https://www.cardekho.com/user-review/kia-seltos/excellence-in-kia-95808.htm
Cardekho.com,Kia Seltos,KIA Is A Dream,The look is best. And the interior is awesome And technology is mind-blowing by comparison to another car like MG Hector and others. The engine power of the KIA Seltos is best. And the drive is very smooth. The KIA Seltos have soo much Space for comfort setting.  And also have soo much function on the dashboard. The dashboard of the KIA Seltos is fabulous. And the music sounds quality is best.,5,Music Studio,6-Dec-19,420,1,0,https://www.cardekho.com/user-review/kia-seltos/kia-is-a-dream-95785.htm
Cardekho.com,Kia Seltos,Spacious car.,"Amazing experience, however, a bit expensive when compared to MG Hector. It is very spacious and is affordable.",4,Mohd Salman,5-Dec-19,56,0,0,https://www.cardekho.com/user-review/kia-seltos/spacious-car-95677.htm
Cardekho.com,Kia Seltos,Best in the class.,"Amazing features, excellent road presence with safety features and comfort within the budget.",5,Deepak Verma,6-Dec-19,30,0,0,https://www.cardekho.com/user-review/kia-seltos/best-in-the-class-95819.htm
Cardekho.com,Kia Seltos,Amazing car.,Great car with multiple features. Highly recommended.,5,Naved Ali Khan,6-Dec-19,33,0,0,https://www.cardekho.com/user-review/kia-seltos/amazing-car-95776.htm
Cardekho.com,Kia Seltos,The all rounder.,"It's a good product from Kia. It is a great allrounder in all aspects. It's a clear rival for segment leader Creta. Seltos is a great car, balancing pocket and commendable performance. Even it proved that it's far better than India's most awaited SUV Hector from MG motors. Ultimately its a great start to Kia in India.",5,Sai Krishna,5-Dec-19,62,0,0,https://www.cardekho.com/user-review/kia-seltos/the-all-rounder-95740.htm
Cardekho.com,Kia Seltos,An Awesome car,"Kia Seltos is an awesome car with a great look. Also, getting average mileage in this vehicle.  ",4,Arvind Konduru,5-Dec-19,47,0,0,https://www.cardekho.com/user-review/kia-seltos/an-awesome-car-95714.htm
Cardekho.com,Kia Seltos,Beautiful Compact SUV,Kia Seltos is the Beautiful Compact SUV. It is the best car in the 10 lac budget range.,5,Dpa Technology India,5-Dec-19,39,0,0,https://www.cardekho.com/user-review/kia-seltos/beautiful-compact-suv-95705.htm
